数据库：月度数据
时间：最近13个月
指标,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月
粮食类农村居民消费价格指数(上年同月=100),98.7,98.7,98.7,98.7,99.0,99.2,99.6,99.9,100.1,100.2,100.5,100.7
畜肉类农村居民消费价格指数(上年同月=100),100.5,100.2,99.0,103.5,102.5,103.9,104.3,105.5,105.6,107.4,105.5,98.8
蛋类农村居民消费价格指数(上年同月=100),99.9,98.4,96.5,100.3,99.5,98.7,96.9,95.5,95.8,100.1,95.3,91.2
水产品类农村居民消费价格指数(上年同月=100),100.9,99.7,96.7,100.8,100.1,100.8,100.8,101.3,101.0,100.5,100.3,100.0
鲜菜类农村居民消费价格指数(上年同月=100),94.0,92.2,87.1,101.7,100.5,109.9,121.1,121.9,120.6,101.8,92.0,102.4
鲜果类农村居民消费价格指数(上年同月=100),104.8,99.9,97.6,100.6,97.7,100.5,105.2,107.0,104.1,96.5,91.3,93.1
数据来源：国家统计局
