指标,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月
教育服务居民消费价格指数(上年同月=100),101.2,101.2,101.3,101.2,101.2,101.2,101.2,101.2,101.7,101.8,101.8,101.8
旅游居民消费价格指数(上年同月=100),99.5,99.1,90.4,107.0,99.9,99.8,99.6,97.9,100.9,103.1,103.7,104.2
