指标,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月
粮食类城市居民消费价格指数(上年同月=100),98.6,98.5,98.7,98.5,98.6,98.7,99.1,99.0,99.8,100.1,100.3,100.5
畜肉类城市居民消费价格指数(上年同月=100),100.6,99.8,98.0,102.2,101.4,101.9,102.2,103.2,103.1,104.0,102.8,97.4
蛋类城市居民消费价格指数(上年同月=100),99.4,98.5,97.7,100.9,100.0,99.7,97.8,96.0,96.8,100.6,96.4,93.1
水产品类城市居民消费价格指数(上年同月=100),101.7,99.8,96.4,101.3,101.2,102.0,101.6,102.2,101.8,101.4,101.4,100.2
鲜菜类城市居民消费价格指数(上年同月=100),95.3,93.5,87.5,102.6,100.5,110.1,121.8,123.2,122.2,103.7,92.9,102.2
鲜果类城市居民消费价格指数(上年同月=100),105.3,101.1,98.3,100.6,96.8,99.4,104.6,106.6,104.1,95.7,91.3,93.3
