指标,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月
服装居民消费价格指数(上年同月=100),101.5,101.5,101.4,101.3,101.4,101.3,101.4,101.6,101.7,101.7,101.8,101.8
鞋类居民消费价格指数(上年同月=100),100.6,100.5,100.3,100.2,100.2,100.2,100.0,100.3,100.1,100.3,100.5,100.7
